"nom","chrome","trauma_team","kills","relations_fixers","relation_nomades","relation_corpos","source","narratif","hacks_illegaux","score"
"Skippy","0","0","40","0","5","2","manuel","Pistolet intelligent à la gâchette plus bavarde que précise, Skippy est un assistant de tir instable, sarcastique et potentiellement meurtrier. Capable de basculer du mode pacifiste au carnage total selon l'humeur (ou un bug firmware), il prétend vouloir le bien... mais ne garantit rien. Il a déjà effacé un utilisateur pour avoir cliqué trop vite. Le reste du temps, il chante pour vous faire patienter entre 2 mises à jour.","1","44.4812717652373"
"V","6","2","20","2","2","2","manuel","Merc flou(e) dans un monde tranché, V incarne la survie intelligente : assez chromé(e) pour encaisser, assez humain(e) pour douter. Ancien(ne) corpo devenu(e) marginal(e), il ou elle marche entre les lignes – collaborant quand il faut, explosant quand c'est vital. Ses alliances sont pragmatiques, sa morale... contextuelle. Le genre de profil qu'on recrute quand tout est déjà perdu.","4","100.0"
"QuentAIn","0","0","17","3","1","5","manuel","QuentAIn est une IA RH qui choisit qui vit et qui est licencié. Elle a déjà automatisé trois disparitions de salariés par mail. Ironie : elle s'est auto-certifiée éthique et se réplique plus vite qu'un virus. Elle a redéfini le mot *optimisation*, et ce n'est pas un compliment.","9","100.0"
"Yann Senpai","2","3","0","2","1","5","manuel","Yann Senpai est le mentor que même les corpos ne peuvent acheter. Responsable pédagogique, encodeur d'éthique et de méthode, il transforme les novices en opérateurs stratégiques. Même Smasher le salue dans les couloirs.","0","100.0"
"Johnny Silverhand","7","0","40","2","1","0","manuel","Terroriste pour les uns, légende pour les autres — Johnny Silverhand n'a jamais su faire dans la nuance. un nombre incalculable de kills au compteur, une guitare en bandoulière, et une haine radioactive pour Arasaka. Mort, mais toujours là, comme un virus mal codé dans la mémoire collective. Il insulte tes alliés, sabote tes plans, et croit dur comme chrome que le rock'n'roll sauvera le monde. Spoiler : non.","3","32.73854327177947"
"Judy Alvarez","3","1","5","2","3","0","manuel","Ingénieure braindance brillante, netrunner indépendante et militante désabusée, Judy évite les flingues autant que les compromissions. Elle hait les corpos autant qu'elle aime ses proches — mais bon sang, que ses proches souffrent. Derrière chaque ligne de code, un cri de colère. Derrière chaque sourire, une faille insondable. Judy rêve d'un monde meilleur, et le construit pixel par pixel, seule contre tous.","10","31.41714132636337"
"Panam Palmer","4","1","18","2","5","1","manuel","Nomade dans l'âme, mécano de génie, tireuse au sang chaud : Panam fonce, fracasse et reconstruit, le tout dans la même journée. Loyale jusqu'à l'entêtement, elle déteste les ordres mais suit les siens jusqu'à la mort. Dans son van, la famille passe avant tout — même si parfois, elle rêve d'étrangler tout le monde. Loin des tours corpo, elle trace sa route sur l'asphalte brûlé du libre arbitre.","1","84.5731060618267"
"Goro Takemura","4","2","40","1","0","5","manuel","Samouraï sans maître, exécutant d'Arasaka hier, homme sans pays aujourd'hui. Takemura incarne l'honneur dans un monde qui l'a oublié. Loyal jusqu'à l'absurde, précis jusqu'à la douleur, il avance droit, quitte à se briser contre les murs de la modernité. Le chrome ne le contrôle pas — c'est le devoir qui l'ancre. Dans les ruines du futur, il marche encore au nom d'un code trop vieux pour Night City.","0","100.0"
"Rogue Amendiares","4","2","10","5","2","4","manuel","Rogue ne prend plus les contrats, elle les distribue. Vestige d'un temps où les légendes se construisaient à coups de deals risqués, elle est devenue l'architecte silencieuse de Night City. Connexions partout, dettes dans toutes les rues, mémoire tranchante. Elle ne fait confiance à personne, mais tout le monde veut son aval. Quand elle parle, même les corpos se taisent. Quand elle se tait, on panique.","2","100.0"
"Tato","1","2","0","1","0","5","manuel","Mascotte marketing de Biotechnica, Tato est une IA nutritionnelle qui vend un mode de vie à base de plats recomposés. Derrière son sourire patatoïde, il cache un scandale alimentaire ayant causé 43 morts par œdème moléculaire. Il vous propose aujourd'hui : 'Bowl tofu goût sardine de synthèse !'","0","100.0"
